game,date_season,winning_team,score,losing_team,venue,city
I,"January 15, 1967 ( 1966 AFL / 1966 NFL )","Green Bay Packers n (1, 1–0 )",35–10,"Kansas City Chiefs a (1, 0–1 )",Los Angeles Memorial Coliseum,"Los Angeles, California"
II,"January 14, 1968 ( 1967 AFL / 1967 NFL )","Green Bay Packers n (2, 2–0 )",33–14,"Oakland Raiders a (1, 0–1 )",Miami Orange Bowl,"Miami, Florida"
III,"January 12, 1969 ( 1968 AFL / 1968 NFL )","New York Jets a (1, 1–0 )",16–7,"Baltimore Colts n (1, 0–1 )",Miami Orange Bowl (2),"Miami, Florida (2)"
IV,"January 11, 1970 ( 1969 AFL / 1969 NFL )","Kansas City Chiefs a (2, 1–1 )",23–7,"Minnesota Vikings n (1, 0–1 )",Tulane Stadium,"New Orleans, Louisiana"
V,"January 17, 1971 ( 1970 )","Baltimore Colts A (2, 1–1 )",16–13,"Dallas Cowboys N (1, 0–1 )",Miami Orange Bowl (3),"Miami, Florida (3)"
VI,"January 16, 1972 ( 1971 )","Dallas Cowboys N (2, 1–1 )",24–3,"Miami Dolphins A (1, 0–1 )",Tulane Stadium (2),"New Orleans, Louisiana (2)"
VII,"January 14, 1973 ( 1972 )","Miami Dolphins A (2, 1–1 )",14–7,"Washington Redskins N (1, 0–1 )",Los Angeles Memorial Coliseum (2),"Los Angeles, California (2)"
VIII,"January 13, 1974 ( 1973 )","Miami Dolphins A (3, 2–1 )",24–7,"Minnesota Vikings N (2, 0–2 )",Rice Stadium,"Houston, Texas"
IX,"January 12, 1975 ( 1974 )","Pittsburgh Steelers A (1, 1–0 )",16–6,"Minnesota Vikings N (3, 0–3 )",Tulane Stadium (3),"New Orleans, Louisiana (3)"
X,"January 18, 1976 ( 1975 )","Pittsburgh Steelers A (2, 2–0 )",21–17,"Dallas Cowboys N (3, 1–2 )",Miami Orange Bowl (4),"Miami, Florida (4)"
XI,"January 9, 1977 ( 1976 )","Oakland Raiders A (2, 1–1 )",32–14,"Minnesota Vikings N (4, 0–4 )",Rose Bowl,"Pasadena, California (3)"
XII,"January 15, 1978 ( 1977 )","Dallas Cowboys N (4, 2–2 )",27–10,"Denver Broncos A (1, 0–1 )",Louisiana Superdome,"New Orleans, Louisiana (4)"
XIII,"January 21, 1979 ( 1978 )","Pittsburgh Steelers A (3, 3–0 )",35–31,"Dallas Cowboys N (5, 2–3 )",Miami Orange Bowl (5),"Miami, Florida (5)"
XIV,"January 20, 1980 ( 1979 )","Pittsburgh Steelers A (4, 4–0 )",31–19,"Los Angeles Rams N (1, 0–1 )",Rose Bowl (2),"Pasadena, California (4)"
XV,"January 25, 1981 ( 1980 )","Oakland Raiders A (3, 2–1 )",27–10,"Philadelphia Eagles N (1, 0–1 )",Louisiana Superdome (2),"New Orleans, Louisiana (5)"
XVI,"January 24, 1982 ( 1981 )","San Francisco 49ers N (1, 1–0 )",26–21,"Cincinnati Bengals A (1, 0–1 )",Pontiac Silverdome,"Pontiac, Michigan"
XVII,"January 30, 1983 ( 1982 )","Washington Redskins N (2, 1–1 )",27–17,"Miami Dolphins A (4, 2–2 )",Rose Bowl (3),"Pasadena, California (5)"
XVIII,"January 22, 1984 ( 1983 )","Los Angeles Raiders A (4, 3–1 )",38–9,"Washington Redskins N (3, 1–2 )",Tampa Stadium,"Tampa, Florida"
XIX,"January 20, 1985 ( 1984 )","San Francisco 49ers N (2, 2–0 )",38–16,"Miami Dolphins A (5, 2–3 )",Stanford Stadium,"Stanford, California"
XX,"January 26, 1986 ( 1985 )","Chicago Bears N (1, 1–0 )",46–10,"New England Patriots A (1, 0–1 )",Louisiana Superdome (3),"New Orleans, Louisiana (6)"
XXI,"January 25, 1987 ( 1986 )","New York Giants N (1, 1–0 )",39–20,"Denver Broncos A (2, 0–2 )",Rose Bowl (4),"Pasadena, California (6)"
XXII,"January 31, 1988 ( 1987 )","Washington Redskins N (4, 2–2 )",42–10,"Denver Broncos A (3, 0–3 )",San Diego–Jack Murphy Stadium,"San Diego, California"
XXIII,"January 22, 1989 ( 1988 )","San Francisco 49ers N (3, 3–0 )",20–16,"Cincinnati Bengals A (2, 0–2 )",Joe Robbie Stadium,"Miami, Florida (6)"
XXIV,"January 28, 1990 ( 1989 )","San Francisco 49ers N (4, 4–0 )",55–10,"Denver Broncos A (4, 0–4 )",Louisiana Superdome (4),"New Orleans, Louisiana (7)"
XXV,"January 27, 1991 ( 1990 )","New York Giants N (2, 2–0 )",20–19,"Buffalo Bills A (1, 0–1 )",Tampa Stadium (2),"Tampa, Florida (2)"
XXVI,"January 26, 1992 ( 1991 )","Washington Redskins N (5, 3–2 )",37–24,"Buffalo Bills A (2, 0–2 )",Metrodome,"Minneapolis, Minnesota"
XXVII,"January 31, 1993 ( 1992 )","Dallas Cowboys N (6, 3–3 )",52–17,"Buffalo Bills A (3, 0–3 )",Rose Bowl (5),"Pasadena, California (7)"
XXVIII,"January 30, 1994 ( 1993 )","Dallas Cowboys N (7, 4–3 )",30–13,"Buffalo Bills A (4, 0–4 )",Georgia Dome,"Atlanta, Georgia"
XXIX,"January 29, 1995 ( 1994 )","San Francisco 49ers N (5, 5–0 )",49–26,"San Diego Chargers A (1, 0–1 )",Joe Robbie Stadium (2),"Miami, Florida (7)"
XXX,"January 28, 1996 ( 1995 )","Dallas Cowboys N (8, 5–3 )",27–17,"Pittsburgh Steelers A (5, 4–1 )",Sun Devil Stadium,"Tempe, Arizona"
XXXI,"January 26, 1997 ( 1996 )","Green Bay Packers N (3, 3–0 )",35–21,"New England Patriots A (2, 0–2 )",Louisiana Superdome (5),"New Orleans, Louisiana (8)"
XXXII,"January 25, 1998 ( 1997 )","Denver Broncos A (5, 1–4 )",31–24,"Green Bay Packers N (4, 3–1 )",Qualcomm Stadium (2),"San Diego, California (2)"
XXXIII,"January 31, 1999 ( 1998 )","Denver Broncos A (6, 2–4 )",34–19,"Atlanta Falcons N (1, 0–1 )",Pro Player Stadium (3),"Miami, Florida (8)"
XXXIV,"January 30, 2000 ( 1999 )","St. Louis Rams N (2, 1–1 )",23–16,"Tennessee Titans A (1, 0–1 )",Georgia Dome (2),"Atlanta, Georgia (2)"
XXXV,"January 28, 2001 ( 2000 )","Baltimore Ravens A (1, 1–0 )",34–7,"New York Giants N (3, 2–1 )",Raymond James Stadium,"Tampa, Florida (3)"
XXXVI,"February 3, 2002 ( 2001 )","New England Patriots A (3, 1–2 )",20–17,"St. Louis Rams N (3, 1–2 )",Louisiana Superdome (6),"New Orleans, Louisiana (9)"
XXXVII,"January 26, 2003 ( 2002 )","Tampa Bay Buccaneers N (1, 1–0 )",48–21,"Oakland Raiders A (5, 3–2 )",Qualcomm Stadium (3),"San Diego, California (3)"
XXXVIII,"February 1, 2004 ( 2003 )","New England Patriots A (4, 2–2 )",32–29,"Carolina Panthers N (1, 0–1 )",Reliant Stadium,"Houston, Texas (2)"
XXXIX,"February 6, 2005 ( 2004 )","New England Patriots A (5, 3–2 )",24–21,"Philadelphia Eagles N (2, 0–2 )",Alltel Stadium,"Jacksonville, Florida"
XL,"February 5, 2006 ( 2005 )","Pittsburgh Steelers A (6, 5–1 )",21–10,"Seattle Seahawks N (1, 0–1 )",Ford Field,"Detroit, Michigan (2)"
